pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty
12248,XX,cde_fo,OPTCUR,GBPUSD,GBPUSD26DEC1.21CE,CE,GBPUSD26DEC1.21CE,,42,,,,,,1000,1,1483021800,1000,4,1.21e+07,CDS,OPTCUR,1483021800,,1482994800,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,1482969600,1483021800,,,,,,315513000,1,1,0.00,1,0,1.224e+06,984000,1,1,1,0,0,1,0,1e+12,1,0,10000
1254,XX,cde_fo,FUTCUR,JPYINR,JPYINR26DECFUT,XX,JPYINR26DECFUT,,27,,,,,,25000,1,1483021800,1000,4,-1,CDS,FUTCUR,1483021800,,1482994800,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,,,,,,,,315513000,0,1,0.00,1,0,6.1955e+08,5.835e+08,1,1,1,0,0,1,0,1e+12,1,0,10000
12560,XX,cde_fo,OPTCUR,JPYINR,JPYINR2682852.75PE,PE,JPYINR2682852.75PE,,27,,,,,,25000,1,1472394600,1000,4,5.275e+08,CDS,OPTCUR,1472394600,,1472367600,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,1472342400,1472394600,,,,,,315513000,1,1,0.00,1,0,175000,25000,1,1,1,0,0,1,0,1e+12,1,0,10000
12566,XX,cde_fo,OPTCUR,JPYINR,JPYINR2691152.75PE,PE,JPYINR2691152.75PE,,27,,,,,,25000,1,1473604200,1000,4,5.275e+08,CDS,OPTCUR,1473604200,,1473577200,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,1473552000,1473604200,,,,,,315513000,1,1,0.00,1,0,325000,75000,1,1,1,0,0,1,0,1e+12,1,0,10000
1191,XX,cde_fo,FUTCUR,GBPUSD,GBPUSD26JULFUT,XX,GBPUSD26JULFUT,,42,,,,,,1000,1,1469802600,1000,4,-1,CDS,FUTCUR,1469802600,,1469775600,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,,,,,,,,315513000,0,1,0.00,1,104,1.3553e+07,1.2765e+07,1,1,1,0,0,1,0,1e+12,1,0,10000
11933,XX,cde_fo,OPTCUR,JPYINR,JPYINR26AUG66CE,CE,JPYINR26AUG66CE,,27,,,,,,25000,1,1472308200,1000,4,6.6e+08,CDS,OPTCUR,1472308200,,1472281200,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,1472256000,1472308200,,,,,,315513000,1,1,0.00,1,0,175000,25000,1,1,1,0,0,1,0,1e+12,1,0,10000
11976,XX,cde_fo,OPTCUR,GBPINR,GBPINR26828120.75CE,CE,GBPINR26828120.75CE,,26,,,,,,25000,1,1472394600,1000,4,1.2075e+09,CDS,OPTCUR,1472394600,,1472367600,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,1472342400,1472394600,,,,,,315513000,1,1,0.00,1,0,5.6825e+07,3.7625e+07,1,1,1,0,0,1,0,1e+12,1,0,10000
11978,XX,cde_fo,OPTCUR,GBPINR,GBPINR26828120.75PE,PE,GBPINR26828120.75PE,,26,,,,,,25000,1,1472394600,1000,4,1.2075e+09,CDS,OPTCUR,1472394600,,1472367600,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,1472342400,1472394600,,,,,,315513000,1,1,0.00,1,0,6.6e+06,2.25e+06,1,1,1,0,0,1,0,1e+12,1,0,10000
11982,XX,cde_fo,FUTCUR,EURINR,EURINR26911FUT,XX,EURINR26911FUT,,25,,,,,,25000,1,1473604200,1000,4,-1,CDS,FUTCUR,1473604200,,1473577200,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,,,,,,,,315513000,0,1,0.00,1,0,1.11508e+09,1.05012e+09,1,1,1,0,0,1,0,1e+12,1,0,10000
11984,XX,cde_fo,FUTCUR,JPYINR,JPYINR26911FUT,XX,JPYINR26911FUT,,27,,,,,,25000,1,1473604200,1000,4,-1,CDS,FUTCUR,1473604200,,1473577200,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,,,,,,,,315513000,0,1,0.00,1,0,6.0905e+08,5.736e+08,1,1,1,0,0,1,0,1e+12,1,0,10000
1242,XX,cde_fo,OPTCUR,USDINR,USDINR2680794.375PE,PE,USDINR2680794.375PE,,1,,,,,,25000,1,1470580200,1000,4,9.4375e+08,CDS,OPTCUR,1470580200,,1470553200,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,1470528000,1470580200,,,,,,315513000,0,1,0.00,1,0,8.975e+06,3.575e+06,1,1,1,0,0,1,0,1e+12,1,0,10000
12432,XX,cde_fo,OPTCUR,JPYINR,JPYINR26SEP60PE,PE,JPYINR26SEP60PE,,27,,,,,,25000,1,1475073000,1000,4,6e+08,CDS,OPTCUR,1475073000,,1475046000,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,1475020800,1475073000,,,,,,315513000,0,1,0.00,1,0,2.1675e+07,1.3275e+07,1,1,1,0,0,1,0,1e+12,1,0,10000
12437,XX,cde_fo,OPTCUR,GBPINR,GBPINR26911120.75PE,PE,GBPINR26911120.75PE,,26,,,,,,25000,1,1473604200,1000,4,1.2075e+09,CDS,OPTCUR,1473604200,,1473577200,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,1473552000,1473604200,,,,,,315513000,1,1,0.00,1,0,8.225e+06,3.475e+06,1,1,1,0,0,1,0,1e+12,1,0,10000
12438,XX,cde_fo,OPTCUR,GBPINR,GBPINR26911121CE,CE,GBPINR26911121CE,,26,,,,,,25000,1,1473604200,1000,4,1.21e+09,CDS,OPTCUR,1473604200,,1473577200,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,1473552000,1473604200,,,,,,315513000,1,1,0.00,1,0,5.415e+07,3.57e+07,1,1,1,0,0,1,0,1e+12,1,0,10000
12441,XX,cde_fo,OPTCUR,GBPINR,GBPINR26911121.25PE,PE,GBPINR26911121.25PE,,26,,,,,,25000,1,1473604200,1000,4,1.2125e+09,CDS,OPTCUR,1473604200,,1473577200,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,1473552000,1473604200,,,,,,315513000,0,1,0.00,1,0,9.125e+06,3.725e+06,1,1,1,0,0,1,0,1e+12,1,0,10000
12442,XX,cde_fo,OPTCUR,GBPINR,GBPINR26911121.5CE,CE,GBPINR26911121.5CE,,26,,,,,,25000,1,1473604200,1000,4,1.215e+09,CDS,OPTCUR,1473604200,,1473577200,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,1473552000,1473604200,,,,,,315513000,0,1,0.00,1,0,5.295e+07,3.52e+07,1,1,1,0,0,1,0,1e+12,1,0,10000
12443,XX,cde_fo,OPTCUR,GBPINR,GBPINR26911121.5PE,PE,GBPINR26911121.5PE,,26,,,,,,25000,1,1473604200,1000,4,1.215e+09,CDS,OPTCUR,1473604200,,1473577200,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,1473552000,1473604200,,,,,,315513000,0,1,0.00,1,0,9.9e+06,4.1e+06,1,1,1,0,0,1,0,1e+12,1,0,10000
12462,XX,cde_fo,OPTCUR,GBPINR,GBPINR26911124CE,CE,GBPINR26911124CE,,26,,,,,,25000,1,1473604200,1000,4,1.24e+09,CDS,OPTCUR,1473604200,,1473577200,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,1473552000,1473604200,,,,,,315513000,0,1,0.00,1,0,3.41e+07,2.055e+07,1,1,1,0,0,1,0,1e+12,1,0,10000
12466,XX,cde_fo,OPTCUR,JPYINR,JPYINR26SEP60.25PE,PE,JPYINR26SEP60.25PE,,27,,,,,,25000,1,1475073000,1000,4,6.025e+08,CDS,OPTCUR,1475073000,,1475046000,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,1475020800,1475073000,,,,,,315513000,0,1,0.00,1,0,2.3375e+07,1.4575e+07,1,1,1,0,0,1,0,1e+12,1,0,10000
12468,XX,cde_fo,OPTCUR,GBPINR,GBPINR26911124.5CE,CE,GBPINR26911124.5CE,,26,,,,,,25000,1,1473604200,1000,4,1.245e+09,CDS,OPTCUR,1473604200,,1473577200,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,1473552000,1473604200,,,,,,315513000,0,1,0.00,1,0,3.0825e+07,1.8175e+07,1,1,1,0,0,1,0,1e+12,1,0,10000
13111,XX,cde_fo,OPTCUR,JPYINR,JPYINR27JUN54.5CE,CE,JPYINR27JUN54.5CE,,27,,,,,,25000,1,1498660200,1000,4,5.45e+08,CDS,OPTCUR,1498660200,,1498633200,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,1498608000,1498660200,,,,,,315513000,1,1,0.00,1,0,7.7e+07,6.48e+07,1,1,1,0,0,1,0,1e+12,1,0,10000
13114,XX,cde_fo,OPTCUR,JPYINR,JPYINR27JUN54.5PE,PE,JPYINR27JUN54.5PE,,27,,,,,,25000,1,1498660200,1000,4,5.45e+08,CDS,OPTCUR,1498660200,,1498633200,,0,0,0,0,0,,0,0,,,,,,,,,,,CUR,,,,,,,1498608000,1498660200,,,,,,315513000,1,1,0.00,1,0,5.975e+06,4.025e+06,1,1,1,0,0,1,0,1e+12,1,0,10000
