pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty
828997,,bse_fo,SO,VMM,VMM26AUG117PE,PE,VMM27AUG26117.00PE,,544307,,,VMM26AUG117PE,,,5,4850,1787855399,1,2,11700,BSE,SO,1787855399,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1787788800,1787788800,,,,,Physical,,0,1,0.00,4850,0,670,40,1,1,1,0,0,1,0,-1,1,0,100000000
829044,,bse_fo,SO,NATIONALUM,NATIONALUM26AUG410CE,CE,NATIONALUM27AUG26410.00CE,,532234,,,NATIONALUM26AUG410CE,,,5,1875,1787855399,1,2,41000,BSE,SO,1787855399,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1787788800,1787788800,,,,,Physical,,0,1,0.00,1875,0,2865,5,1,1,1,0,0,1,0,-1,1,0,300000
829053,,bse_fo,IO,SENSEX,SENSEX26AUG75900PE,PE,SENSEX27AUG2675900.00PE,,1,,,SENSEX26AUG75900PE,,,5,20,1787855399,1,2,7.59e+06,BSE,IO,1787855399,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1787788800,1787788800,,,,,Cash,,0,1,0.00,20,0,115930,5,1,1,1,0,0,1,0,-1,1,0,1000
829067,,bse_fo,SO,ADANIPOWER,ADANIPOWER26AUG242.5PE,PE,ADANIPOWER27AUG26242.50PE,,533096,,,ADANIPOWER26AUG242.5PE,,,5,3550,1787855399,1,2,24250,BSE,SO,1787855399,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1787788800,1787788800,,,,,Physical,,0,1,0.00,3550,0,4075,1195,1,1,1,0,0,1,0,-1,1,0,100000000
829076,,bse_fo,SO,NYKAA,NYKAA26AUG275PE,PE,NYKAA27AUG26275.00PE,,543384,,,NYKAA26AUG275PE,,,5,3125,1787855399,1,2,27500,BSE,SO,1787855399,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1787788800,1787788800,,,,,Physical,,0,1,0.00,3125,0,2345,5,1,1,1,0,0,1,0,-1,1,0,100000000
829086,,bse_fo,SO,RECLTD,RECLTD26AUG360CE,CE,RECLTD27AUG26360.00CE,,532955,,,RECLTD26AUG360CE,,,5,1575,1787855399,1,2,36000,BSE,SO,1787855399,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1787788800,1787788800,,,,,Physical,,0,1,0.00,1575,0,4595,460,1,1,1,0,0,1,0,-1,1,0,160000
829088,,bse_fo,SO,HDFCBANK,HDFCBANK26AUG780CE,CE,HDFCBANK27AUG26780.00CE,,500180,,,HDFCBANK26AUG780CE,,,5,650,1787855399,1,2,78000,BSE,SO,1787855399,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1787788800,1787788800,,,,,Physical,,0,1,0.00,650,0,7140,1295,1,1,1,0,0,1,0,-1,1,0,16500
829091,,bse_fo,SO,BIOCON,BIOCON26AUG410CE,CE,BIOCON27AUG26410.00CE,,532523,,,BIOCON26AUG410CE,,,5,2500,1787855399,1,2,41000,BSE,SO,1787855399,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1787788800,1787788800,,,,,Physical,,0,1,0.00,2500,0,5280,945,1,1,1,0,0,1,0,-1,1,0,100000
829095,,bse_fo,SO,TMPV,TMPV26JUL430CE,CE,TMPV30JUL26430.00CE,,500570,,,TMPV26JUL430CE,,,5,1600,1785436199,1,2,43000,BSE,SO,1785436199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1785369600,1785369600,,,,,Physical,,0,1,0.00,1600,0,2030,5,1,1,1,0,0,1,0,-1,1,0,42750
829098,,bse_fo,SO,JSWENERGY,JSWENERGY26AUG565PE,PE,JSWENERGY27AUG26565.00PE,,533148,,,JSWENERGY26AUG565PE,,,5,1075,1787855399,1,2,56500,BSE,SO,1787855399,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1787788800,1787788800,,,,,Physical,,0,1,0.00,1075,0,5935,1160,1,1,1,0,0,1,0,-1,1,0,100000000
